run_id,best_metric,best_epoch,ckpt_path,model,backbone,features,excluded_folders,mse_weight_epochs,mse_weight_start,lr,weight_decay,pred_activation,activation_eps,seed
874233c28924,4.04229698319366,33,/home/dominik/repo/checkpoints/sweep/xattn/xattn_resnet18_e033_de004.0423.pt,xattn,resnet18,image+meta,none,75,1.0,0.001,0.0001,sigmoid_eps,0.001,100
426ccd634b38,2.761079804006829,26,/home/dominik/repo/checkpoints/sweep/xattn/xattn_resnet18_e026_de002.7611.pt,xattn,resnet18,image+mean+meta,pixel+samsung,75,1.0,0.001,0.0001,sigmoid_eps,0.001,100
df2cbd0a075a,3.6616779161536175,26,/home/dominik/repo/checkpoints/sweep/xattn/xattn_resnet18_e026_de003.6617.pt,xattn,resnet18,image+meta,none,25,1.0,0.001,0.0001,sigmoid_eps,0.001,100
6fb4e299826f,3.756994986879653,26,/home/dominik/repo/checkpoints/sweep/xattn/xattn_resnet18_e026_de003.7570.pt,xattn,resnet18,image+meta,none,50,1.0,0.001,0.0001,sigmoid_eps,0.001,100
dc629f8388fe,4.3276091006494335,26,/home/dominik/repo/checkpoints/sweep/xattn/xattn_resnet18_e026_de004.3276.pt,xattn,resnet18,image,samsung,25,1.0,0.001,0.0001,sigmoid_eps,0.001,100
88532cac38df,4.092091310455139,27,/home/dominik/repo/checkpoints/sweep/xattn/xattn_resnet18_e027_de004.0921.pt,xattn,resnet18,image,pixel+samsung,10,1.0,0.001,0.0001,sigmoid_eps,0.001,100
8477bcc0aa6c,2.9691896147400367,28,/home/dominik/repo/checkpoints/sweep/xattn/xattn_resnet18_e028_de002.9692.pt,xattn,resnet18,image+mean+meta,pixel,10,1.0,0.001,0.0001,sigmoid_eps,0.001,100
73754ac9dac2,3.0061343408400014,33,/home/dominik/repo/checkpoints/sweep/xattn/xattn_resnet18_e033_de003.0061.pt,xattn,resnet18,image+mean+meta,samsung,50,1.0,0.001,0.0001,sigmoid_eps,0.001,100
7a139db42ff7,2.8780007606529328,29,/home/dominik/repo/checkpoints/sweep/xattn/xattn_resnet18_e029_de002.8780.pt,xattn,resnet18,image+mean+meta,pixel+samsung,10,1.0,0.001,0.0001,sigmoid_eps,0.001,100
aa250384b4aa,2.9286966122776628,30,/home/dominik/repo/checkpoints/sweep/xattn/xattn_resnet18_e030_de002.9287.pt,xattn,resnet18,image+meta,pixel+samsung,75,1.0,0.001,0.0001,sigmoid_eps,0.001,100
